ts	hostid	type	mod	value	tag
1782835200000	host003	disk	sda_write	280043	disk_rw_sectors
1782835500000	host008	disk	sda_write	242357	disk_rw_sectors
1782835800000	host013	disk	sdc_avgrq	989.52	disk_other_metric
1782836100000	host018	disk	sde_write	358935	disk_rw_sectors
1782836400000	host011	disk	sdd_rqm	114.52	disk_rqm_per_sec
1782836700000	host002	disk	sda_await	20.12	disk_latency_ms
1782837000000	host003	disk	sdd_write	478746	disk_rw_sectors
1782837300000	host019	disk	sda_await	10.71	disk_latency_ms
1782837600000	host016	disk	sda_util	88.47	disk_util_percent
1782837900000	host015	disk	sde_read	138873	disk_rw_sectors
1782838200000	host005	disk	sda_avgrq	744.99	disk_other_metric
1782838500000	host018	disk	sdb_avgrq	747.01	disk_other_metric
1782838800000	host014	disk	sda_util	36.20	disk_util_percent
1782839100000	host005	disk	sdc_svctm	24.73	disk_latency_ms
1782839400000	host002	disk	sdc_read	80132	disk_rw_sectors
1782839700000	host006	disk	sdc_util	59.64	disk_util_percent
1782840000000	host013	disk	sde_await	29.83	disk_latency_ms
1782840300000	host015	disk	sdd_svctm	12.65	disk_latency_ms
1782840600000	host018	disk	sda_rqm	340.14	disk_rqm_per_sec
1782840900000	host004	disk	sde_svctm	37.57	disk_latency_ms
1782841200000	host011	disk	sdc_read	153878	disk_rw_sectors
1782841500000	host014	disk	sda_write	237881	disk_rw_sectors
1782841800000	host001	disk	sdb_avgrq	971.89	disk_other_metric
1782842100000	host006	disk	sdc_svctm	45.64	disk_latency_ms
1782842400000	host010	disk	sdc_svctm	30.49	disk_latency_ms
1782842700000	host005	disk	sdd_await	38.15	disk_latency_ms
1782843000000	host018	disk	sdd_svctm	45.93	disk_latency_ms
1782843300000	host020	disk	sda_await	24.48	disk_latency_ms
1782843600000	host004	disk	sdd_await	43.95	disk_latency_ms
1782843900000	host010	disk	sda_avgrq	57.93	disk_other_metric
1782844200000	host019	disk	sda_read	44907	disk_rw_sectors
1782844500000	host016	disk	sde_rqm	488.99	disk_rqm_per_sec
1782844800000	host018	disk	sdd_read	67314	disk_rw_sectors
1782845100000	host016	disk	sda_write	138966	disk_rw_sectors
1782845400000	host017	disk	sdc_util	96.44	disk_util_percent
1782845700000	host018	disk	sdc_write	373790	disk_rw_sectors
1782846000000	host010	disk	sda_util	99.51	disk_util_percent
1782846300000	host012	disk	sdd_util	89.96	disk_util_percent
1782846600000	host015	disk	sdc_read	129973	disk_rw_sectors
1782846900000	host008	disk	sde_rqm	169.04	disk_rqm_per_sec
1782847200000	host019	disk	sde_write	308512	disk_rw_sectors
1782847500000	host008	disk	sda_rqm	35.50	disk_rqm_per_sec
1782847800000	host002	disk	sde_write	35337	disk_rw_sectors
1782848100000	host002	disk	sdb_await	3.64	disk_latency_ms
1782848400000	host008	disk	sdc_avgrq	668.98	disk_other_metric
1782848700000	host007	disk	sde_svctm	6.70	disk_latency_ms
1782849000000	host019	disk	sda_svctm	12.23	disk_latency_ms
1782849300000	host016	disk	sdb_util	19.04	disk_util_percent
1782849600000	host004	disk	sdc_util	35.43	disk_util_percent
1782849900000	host014	disk	sde_util	86.38	disk_util_percent
1782850200000	host002	disk	sdb_read	31778	disk_rw_sectors
1782850500000	host013	disk	sdb_await	40.05	disk_latency_ms
1782850800000	host004	disk	sda_avgrq	191.59	disk_other_metric
1782851100000	host018	disk	sdd_util	14.02	disk_util_percent
1782851400000	host006	disk	sdc_avgrq	462.63	disk_other_metric
1782851700000	host003	disk	sdd_util	80.80	disk_util_percent
1782852000000	host018	disk	sdb_read	26522	disk_rw_sectors
1782852300000	host018	disk	sda_rqm	484.50	disk_rqm_per_sec
1782852600000	host008	disk	sda_write	213078	disk_rw_sectors
1782852900000	host016	disk	sda_svctm	10.77	disk_latency_ms
