hostid	host_name	ip_address	location	status	os_type	cpu_cores	memory_gb	disk_count	create_time
host001	主机001	192.168.1.101	数据中心A-1区	online	Linux	32	128	8	2024-01-01 08:00:00
host002	主机002	192.168.1.102	数据中心A-1区	online	Linux	32	128	8	2024-01-01 08:00:00
host003	主机003	192.168.1.103	数据中心A-2区	online	Linux	64	256	12	2024-01-01 08:00:00
host004	主机004	192.168.1.104	数据中心A-2区	online	Linux	64	256	12	2024-01-01 08:00:00
host005	主机005	192.168.1.105	数据中心B-1区	online	Linux	48	192	10	2024-01-01 08:00:00
host006	主机006	192.168.1.106	数据中心B-1区	online	Linux	48	192	10	2024-01-01 08:00:00
host007	主机007	192.168.1.107	数据中心B-2区	online	Linux	32	128	8	2024-01-01 08:00:00
host008	主机008	192.168.1.108	数据中心B-2区	online	Linux	32	128	8	2024-01-01 08:00:00
host009	主机009	192.168.1.109	数据中心C-1区	online	Linux	64	256	12	2024-01-01 08:00:00
host010	主机010	192.168.1.110	数据中心C-1区	online	Linux	64	256	12	2024-01-01 08:00:00
host011	主机011	192.168.1.111	数据中心C-2区	online	Linux	48	192	10	2024-01-01 08:00:00
host012	主机012	192.168.1.112	数据中心C-2区	online	Linux	48	192	10	2024-01-01 08:00:00
host013	主机013	192.168.1.113	数据中心D-1区	online	Linux	32	128	8	2024-01-01 08:00:00
host014	主机014	192.168.1.114	数据中心D-1区	online	Linux	32	128	8	2024-01-01 08:00:00
host015	主机015	192.168.1.115	数据中心D-2区	online	Linux	64	256	12	2024-01-01 08:00:00
host016	主机016	192.168.1.116	数据中心D-2区	online	Linux	64	256	12	2024-01-01 08:00:00
host017	主机017	192.168.1.117	数据中心E-1区	online	Linux	48	192	10	2024-01-01 08:00:00
host018	主机018	192.168.1.118	数据中心E-1区	online	Linux	48	192	10	2024-01-01 08:00:00
host019	主机019	192.168.1.119	数据中心E-2区	online	Linux	32	128	8	2024-01-01 08:00:00
host020	主机020	192.168.1.120	数据中心E-2区	online	Linux	32	128	8	2024-01-01 08:00:00
