mod_name	mod_type	unit	description	category
sda_read	disk	sectors	磁盘sda读扇区数	磁盘IO
sda_write	disk	sectors	磁盘sda写扇区数	磁盘IO
sda_util	disk	%	磁盘sda使用率	磁盘性能
sda_await	disk	ms	磁盘sda平均等待时间	磁盘延迟
sda_svctm	disk	ms	磁盘sda平均服务时间	磁盘延迟
sda_avgrq	disk	sectors	磁盘sda平均请求大小	磁盘IO
sda_rqm	disk	/sec	磁盘sda请求队列长度	磁盘队列
sdb_read	disk	sectors	磁盘sdb读扇区数	磁盘IO
sdb_write	disk	sectors	磁盘sdb写扇区数	磁盘IO
sdb_util	disk	%	磁盘sdb使用率	磁盘性能
sdb_await	disk	ms	磁盘sdb平均等待时间	磁盘延迟
sdb_svctm	disk	ms	磁盘sdb平均服务时间	磁盘延迟
sdb_avgrq	disk	sectors	磁盘sdb平均请求大小	磁盘IO
sdb_rqm	disk	/sec	磁盘sdb请求队列长度	磁盘队列
sdc_read	disk	sectors	磁盘sdc读扇区数	磁盘IO
sdc_write	disk	sectors	磁盘sdc写扇区数	磁盘IO
sdc_util	disk	%	磁盘sdc使用率	磁盘性能
sdc_await	disk	ms	磁盘sdc平均等待时间	磁盘延迟
sdc_svctm	disk	ms	磁盘sdc平均服务时间	磁盘延迟
sdc_avgrq	disk	sectors	磁盘sdc平均请求大小	磁盘IO
sdc_rqm	disk	/sec	磁盘sdc请求队列长度	磁盘队列
sdd_read	disk	sectors	磁盘sdd读扇区数	磁盘IO
sdd_write	disk	sectors	磁盘sdd写扇区数	磁盘IO
sdd_util	disk	%	磁盘sdd使用率	磁盘性能
sdd_await	disk	ms	磁盘sdd平均等待时间	磁盘延迟
sdd_svctm	disk	ms	磁盘sdd平均服务时间	磁盘延迟
sdd_avgrq	disk	sectors	磁盘sdd平均请求大小	磁盘IO
sdd_rqm	disk	/sec	磁盘sdd请求队列长度	磁盘队列
sde_read	disk	sectors	磁盘sde读扇区数	磁盘IO
sde_write	disk	sectors	磁盘sde写扇区数	磁盘IO
sde_util	disk	%	磁盘sde使用率	磁盘性能
sde_await	disk	ms	磁盘sde平均等待时间	磁盘延迟
sde_svctm	disk	ms	磁盘sde平均服务时间	磁盘延迟
sde_avgrq	disk	sectors	磁盘sde平均请求大小	磁盘IO
sde_rqm	disk	/sec	磁盘sde请求队列长度	磁盘队列
