ts	hostid	type	mod	value	tag
1782835200000	host001	cpu	cpu_user	25.3	cpu_usage
1782835200000	host001	cpu	cpu_sys	12.1	cpu_usage
1782835200000	host001	mem	mem_used	65.2	mem_usage
1782835200000	host001	mem	mem_free	34.8	mem_usage
1782835200000	host001	net	net_in	1250.5	net_traffic
1782835200000	host001	net	net_out	890.3	net_traffic
1782835500000	host002	cpu	cpu_user	32.5	cpu_usage
1782835500000	host002	cpu	cpu_sys	15.2	cpu_usage
1782835500000	host002	mem	mem_used	72.1	mem_usage
1782835500000	host002	mem	mem_free	27.9	mem_usage
1782835500000	host002	net	net_in	2100.8	net_traffic
1782835500000	host002	net	net_out	1560.4	net_traffic
1782835800000	host003	cpu	cpu_user	45.8	cpu_usage
1782835800000	host003	cpu	cpu_sys	18.3	cpu_usage
1782835800000	host003	mem	mem_used	85.6	mem_usage
1782835800000	host003	mem	mem_free	14.4	mem_usage
1782835800000	host003	net	net_in	3500.2	net_traffic
1782835800000	host003	net	net_out	2890.1	net_traffic
1782836100000	host004	cpu	cpu_user	28.7	cpu_usage
1782836100000	host004	cpu	cpu_sys	13.5	cpu_usage
1782836100000	host004	mem	mem_used	68.4	mem_usage
1782836100000	host004	mem	mem_free	31.6	mem_usage
1782836100000	host004	net	net_in	1890.6	net_traffic
1782836100000	host004	net	net_out	1230.8	net_traffic
1782836400000	host005	cpu	cpu_user	52.1	cpu_usage
1782836400000	host005	cpu	cpu_sys	22.4	cpu_usage
1782836400000	host005	mem	mem_used	91.2	mem_usage
1782836400000	host005	mem	mem_free	8.8	mem_usage
1782836400000	host005	net	net_in	4200.5	net_traffic
1782836400000	host005	net	net_out	3560.2	net_traffic
1782836700000	host006	cpu	cpu_user	18.3	cpu_usage
1782836700000	host006	cpu	cpu_sys	8.7	cpu_usage
1782836700000	host006	mem	mem_used	55.6	mem_usage
1782836700000	host006	mem	mem_free	44.4	mem_usage
1782836700000	host006	net	net_in	980.3	net_traffic
1782836700000	host006	net	net_out	720.5	net_traffic
1782837000000	host007	cpu	cpu_user	35.2	cpu_usage
1782837000000	host007	cpu	cpu_sys	16.8	cpu_usage
1782837000000	host007	mem	mem_used	78.9	mem_usage
1782837000000	host007	mem	mem_free	21.1	mem_usage
1782837000000	host007	net	net_in	2650.4	net_traffic
1782837000000	host007	net	net_out	1980.7	net_traffic
1782837300000	host008	cpu	cpu_user	41.5	cpu_usage
1782837300000	host008	cpu	cpu_sys	19.2	cpu_usage
1782837300000	host008	mem	mem_used	82.3	mem_usage
1782837300000	host008	mem	mem_free	17.7	mem_usage
1782837300000	host008	net	net_in	3100.8	net_traffic
1782837300000	host008	net	net_out	2450.3	net_traffic
